AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
SUB;6:55:00 AM;IP620;BPN;Pelita Air ;A320 (PK-PWL) ;Landed 6:38 AM;Arrival
SUB;7:00:00 AM;JT929;DPS;Lion Air ;B739 (PK-LGL) ;Landed 6:54 AM;Arrival
SUB;7:05:00 AM;QG661;DPS;Citilink ;A320 (PK-GQH) ;Landed 6:35 AM;Arrival
SUB;7:15:00 AM;JT693;KOE;Lion Air ;B739 (PK-LST) ;Landed 7:07 AM;Arrival
SUB;7:20:00 AM;QG8831;KWL;Citilink ;A20N (PK-GTE) ;Landed 7:27 AM;Arrival
SUB;7:25:00 AM;ID6308;CGK;Batik Air ;A320 (PK-BKO) ;Unknown;Arrival
SUB;7:30:00 AM;IU649;BPN;Super Air Jet ;A320 (PK-STC) ;Landed 7:16 AM;Arrival
SUB;7:35:00 AM;QG252;CGK;Citilink ;A320 (PK-GLO) ;Landed 7:40 AM;Arrival
SUB;7:55:00 AM;QG355;UPG;Citilink ;A320 (PK-GQF) ;Landed 7:43 AM;Arrival
SUB;8:00:00 AM;JT267;TRK;Lion Air ;B739 (PK-LHI) ;Landed 7:47 AM;Arrival
SUB;8:05:00 AM;JT315;BDJ;Lion Air ;B739 (PK-LGP) ;Landed 7:54 AM;Arrival
SUB;8:10:00 AM;JT837;PNK;Lion Air ;B738 (PK-LJV) ;Landed 8:06 AM;Arrival
SUB;8:15:00 AM;GA304;CGK;Garuda Indonesia ;B738 (PK-GNH) ;Landed 8:03 AM;Arrival
SUB;8:15:00 AM;JT683;PKY;Lion Air ;B739 (PK-LFY) ;Landed 8:00 AM;Arrival
SUB;8:25:00 AM;ID6582;CGK;Batik Air ;32A ;Canceled;Arrival
SUB;8:35:00 AM;IP200;CGK;Pelita Air ;A320 (PK-PWK) ;Landed 8:22 AM;Arrival
SUB;8:40:00 AM;IU703;DPS;Super Air Jet ;A320 (PK-SJL) ;Landed 8:40 AM;Arrival
SUB;8:45:00 AM;GA308;CGK;Garuda Indonesia ;B738 (PK-GMV) ;Landed 8:16 AM;Arrival
SUB;8:50:00 AM;JT645;LOP;Lion Air ;B739 (PK-LHS) ;Landed 8:55 AM;Arrival
SUB;8:50:00 AM;IU611;BPN;Super Air Jet ;A320 (PK-SJH) ;Landed 9:42 AM;Arrival
SUB;8:55:00 AM;QG417;PNK;Citilink ;A320 (PK-GLE) ;Landed 8:37 AM;Arrival
