AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
TIM,2:00:00 PM,ID6261,Makassar (UPG),Batik Air ,B738 (PK-LZS) ,Departed 2:22 PM,Departure
TIM,2:00:00 PM,IW1600,Nabire (NBX),Wings Air ,AT7 ,Unknown,Departure
TJQ,6:35:00 AM,JT120,Jakarta (CGK),Lion Air ,738,Canceled,Arrival
TJQ,7:15:00 AM,IN56,Jakarta (CGK),Nam Air ,735,Unknown,Arrival
TJQ,7:15:00 AM,SJ54,Jakarta (CGK),Sriwijaya Air ,B735 (PK-CLE) ,Landed 6:47 AM,Arrival
TJQ,9:50:00 AM,JT142,Pangkal Pinang (PGK),Lion Air ,B738 (PK-LKK) ,Landed 9:42 AM,Arrival
TJQ,10:00:00 AM,JT128,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Landed 10:33 AM,Arrival
TJQ,12:45:00 PM,SJ55,Pangkal Pinang (PGK),Sriwijaya Air ,B735 (PK-CLE) ,Landed 12:29 PM,Arrival
TJQ,12:45:00 PM,IN57,Pangkal Pinang (PGK),Nam Air ,735,Unknown,Arrival
TJQ,1:25:00 PM,JT126,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Landed 2:20 PM,Arrival
TJQ,1:30:00 PM,QG976,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Landed 2:09 PM,Arrival
TJQ,2:35:00 PM,JT136,Jakarta (CGK),Lion Air ,738,Unknown,Arrival
TJQ,7:15:00 AM,JT121,Jakarta (CGK),Lion Air ,738,Canceled,Departure
TJQ,7:55:00 AM,IN56,Pangkal Pinang (PGK),Nam Air ,735,Unknown,Departure
TJQ,7:55:00 AM,SJ54,Pangkal Pinang (PGK),Sriwijaya Air ,B735 (PK-CLE) ,Departed 7:49 AM,Departure
TJQ,9:40:00 AM,JT120,Pangkal Pinang (PGK),Lion Air ,738,Unknown,Departure
TJQ,10:30:00 AM,JT143,Pangkal Pinang (PGK),Lion Air ,B738 (PK-LKK) ,Departed 12:00 PM,Departure
TJQ,10:40:00 AM,JT129,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Departed 11:29 AM,Departure
TJQ,1:25:00 PM,SJ55,Jakarta (CGK),Sriwijaya Air ,B735 (PK-CLE) ,Departed 1:21 PM,Departure
TJQ,1:25:00 PM,IN57,Jakarta (CGK),Nam Air ,735,Unknown,Departure
TJQ,2:00:00 PM,QG977,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Departed 2:55 PM,Departure
TJQ,2:05:00 PM,JT127,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Departed 3:11 PM,Departure
TJQ,3:20:00 PM,JT137,Jakarta (CGK),Lion Air ,738,Unknown,Departure
TKG,7:15:00 AM,JT176,Jakarta (CGK),Lion Air ,739,Unknown,Arrival
TKG,8:30:00 AM,IU800,Jakarta (CGK),Super Air Jet ,A320 (PK-SAQ) ,Landed 9:49 AM,Arrival
TKG,9:40:00 AM,QG994,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Landed 10:54 AM,Arrival
TKG,10:25:00 AM,JT170,Jakarta (CGK),Lion Air ,739,Canceled,Arrival
TKG,12:00:00 PM,QZ182,Denpasar (DPS),AirAsia ,A320 (PK-AZG) ,Landed 11:58 AM,Arrival
TKG,12:45:00 PM,GA7404,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMM) ,Landed 1:23 PM,Arrival
TKG,1:35:00 PM,JT240,Jakarta (CGK),Lion Air ,B739 (PK-LGU) ,Landed 1:39 PM,Arrival
TKG,1:40:00 PM,QZ180,Jakarta (CGK),AirAsia ,A320 (PK-AZP) ,Landed 1:30 PM,Arrival
TKG,3:20:00 PM,JT122,Jakarta (CGK),Lion Air ,B739 (PK-LSS) ,Landed 4:05 PM,Arrival
TKG,6:40:00 PM,GA72,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFS) ,Landed 8:05 PM,Arrival
